x,y
-1.5049035532994923,-3.0020558375634523
-5.228620967741936,-4.580838709677417
-9.268448979591843,-4.298346938775513
-8.68028787878788,-4.293484848484848
-5.4024406779661,-1.2979661016949142
-3.117342105263157,-4.242342105263159
-2.863235294117647,-3.7174705882352943
-2.729500000000006,-1.145613636363638
-1.9186666666666663,-1.9349047619047617
-8.160437499999999,-3.2935624999999993
-1.7207101449275355,-1.3574202898550727
-1.3121333333333332,-1.1933999999999998
-1.6513508771929801,-4.126350877192986
