timestamp,x,y,z,yaw,linear_vel,angular_vel
2025-11-24T06:43:05.965914,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.022562,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.050799,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.083004,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.100948,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.135332,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.154607,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.176194,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.186418,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.198585,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.210336,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.221563,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.244782,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.284369,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.309475,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.343175,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.395004,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.452187,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.504220,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.555655,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.588505,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.636659,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.662373,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.688264,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.718336,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.736522,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.741660,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.744275,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.750981,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.755460,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.760443,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.772000,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.791937,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.799626,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.806697,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.885170,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.917872,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.943249,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.965275,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:06.986416,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.014451,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.018235,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.020057,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.025273,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.030466,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.048904,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.053505,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.057482,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.060174,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.080102,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.104188,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.143237,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.151096,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.156574,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.162216,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.168353,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.176135,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.186649,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.199164,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.221173,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.255538,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.276153,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.317659,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.334859,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.360433,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.372529,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.401021,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.419174,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.436433,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.452319,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.468359,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.482679,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.493966,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.497020,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.505341,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.509029,-1.500,-3.000,1.270,0.000,0.000,0.000
2025-11-24T06:43:07.515383,-1.500,-3.000,1.270,0.000,0.000,0.000
