timestamp,x,y,z,orientation_z
2025-12-04T18:17:08.306090,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.318539,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.333016,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.676210,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.693042,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.704113,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.717419,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.755971,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.767550,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.779987,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.792694,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.804610,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.815262,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.826568,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.839379,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.852070,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.865927,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.879337,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.893677,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.909318,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.924591,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.939784,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.956299,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.972550,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:08.989465,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.007453,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.026006,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.043217,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.068981,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.085853,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.101471,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.119834,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.135917,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.151099,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.165773,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.179917,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.193798,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.209336,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.223670,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.237698,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.254741,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.269545,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.287060,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.303872,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.320649,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.339127,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.357897,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.374491,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.391804,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.408553,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.424979,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.440278,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.457318,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.470839,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.486435,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.501378,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.518597,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.533087,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.550976,-1.500,-3.000,1.270,0.000
2025-12-04T18:17:09.568784,-1.500,-3.000,1.270,0.000
