timestamp,x,y,z,orientation_z
2025-12-05T06:31:45.172618,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.178599,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.199457,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.210749,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.226347,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.240715,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.255183,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.266879,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.281451,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.294276,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.310087,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.323134,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.339779,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.353993,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.370851,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.391233,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.409408,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.426709,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.444430,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.464627,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.479002,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.496623,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.511796,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.530017,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.545747,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.561463,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.578311,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.591364,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.606241,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.622213,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.639438,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.657274,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.671693,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.691381,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.709566,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.737953,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.748655,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.761682,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.778957,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.794875,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.835352,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.848619,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.861046,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.873927,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.888065,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.899181,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.910145,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.923367,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.937108,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.949393,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.962962,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.975859,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:45.990913,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.004718,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.018858,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.034730,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.052470,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.068363,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.083981,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.101573,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.120692,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.138262,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.154542,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.171070,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.188256,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.206801,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.223440,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.239692,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.254756,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.268985,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.284876,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.307776,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.321679,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.335041,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.350597,-1.500,-3.000,1.270,0.000
2025-12-05T06:31:46.366475,-1.500,-3.000,1.270,0.000
